Name,Team,ERA,GB/FB,Relief-IP,K%,BB%,HardHit%,Zone%,Pace (pi)
Brad Keller,CHC,3.14,2.26,43,23.30%,7.80%,30.30%,39.70%,16.5
Tim Hill,NYY,2.58,2.65,45.1,14.20%,6.80%,46.00%,43.60%,16.4
Edwin Díaz,NYM,1.64,1.78,38.1,37.60%,9.40%,37.30%,41.30%,16.3
Cade Smith,CLE,3.21,0.83,42,34.80%,8.80%,40.00%,45.70%,16.3
Chase Lee,DET,3.66,0.91,32,23.80%,6.30%,40.70%,46.10%,16.2
Daniel Lynch IV,KCR,2.65,1.19,37.1,14.30%,11.20%,43.10%,45.00%,16
Daysbel Hernández,ATL,2.1,1.22,30,24.00%,19.20%,33.30%,37.50%,16
Steven Matz,STL,3.77,1.3,43,19.60%,5.00%,44.00%,52.20%,15.6
Jakob Junis,CLE,3.51,0.98,41,18.10%,6.80%,37.70%,44.40%,15.6
Brent Suter,CIN,3.46,1.09,39,18.10%,6.90%,30.30%,46.40%,15.3
Raisel Iglesias,ATL,5.12,0.78,38.2,27.00%,5.50%,32.40%,44.20%,15
