Name,Team,ERA,GB/FB,K%,BB%,HardHit%,Zone%,WHIP,Relief-IP
Camilo Doval,SFG,4.88,2.25,28.80%,14.40%,42.80%,38.00%,1.58,59
Luis García,2 Tms,4.88,1.77,20.90%,5.90%,39.30%,41.80%,1.29,58.3
Fernando Cruz,CIN,4.9,0.96,36.10%,12.90%,42.90%,37.90%,1.37,60.2
James McArthur,KCR,4.92,2,19.80%,5.70%,40.30%,43.20%,1.45,56.2
Burch Smith,2 Tms,4.95,1.2,19.10%,5.00%,44.80%,46.70%,1.35,55.4
Andrew Nardi,MIA,5.07,0.62,33.30%,8.60%,34.70%,39.50%,1.25,49.2
Luke Jackson,2 Tms,5.09,1.64,25.10%,11.10%,39.20%,38.60%,1.47,53
Enyel De Los Santos,3 Tms,5.2,0.71,23.70%,9.00%,42.30%,46.70%,1.41,63.3
Craig Kimbrel,BAL,5.33,0.72,31.50%,13.40%,43.10%,42.60%,1.36,52.1
Chad Kuhl,CHW,5.36,1.31,22.30%,10.00%,36.20%,38.30%,1.55,50.1
Shawn Armstrong,3 Tms,5.43,0.75,20.00%,9.00%,37.80%,46.30%,1.59,53.5
Chris Stratton,KCR,5.55,1.23,17.10%,12.80%,37.90%,40.70%,1.47,58.1
Mike Baumann,5 Tms,5.55,0.94,22.00%,10.60%,43.70%,44.00%,1.49,56.7
David Bednar,PIT,5.77,0.79,22.10%,10.70%,39.30%,44.50%,1.42,57.2
Tyler Alexander,TBR,5.81,0.62,19.50%,4.90%,37.20%,43.70%,1.32,62
John Brebbia,2 Tms,5.86,0.65,27.70%,7.90%,37.30%,42.10%,1.36,54.4
Nick Mears,2 Tms,5.93,1.02,29.30%,9.40%,33.10%,44.30%,1.47,57.2
Tyler Kinley,COL,6.19,0.94,25.30%,11.60%,33.10%,39.70%,1.47,64
Justin Lawrence,COL,6.49,2.04,16.10%,11.80%,41.20%,41.20%,1.78,59.2
Anthony Molina,COL,6.52,1.34,16.10%,7.50%,44.00%,44.20%,1.53,58
